adminPcode,name,male_population_2007,female_population_2007,population_2007,crude_birth_rate_2007,male_population_2008,female_population_2008,population_2008,crude_birth_rate_2008,male_population_2009,female_population_2009,population_2009,crude_birth_rate_2009,male_population_2010,female_population_2010,population_2010,crude_birth_rate_2010,male_population_2011,female_population_2011,population_2011,crude_birth_rate_2011,male_population_2012,female_population_2012,population_2012,crude_birth_rate_2012,male_population_2013,female_population_2013,population_2013,crude_birth_rate_2013,male_population_2014,female_population_2014,population_2014,crude_birth_rate_2014,male_population_2015,female_population_2015,population_2015,crude_birth_rate_2015,male_population_2016,female_population_2016,population_2016,crude_birth_rate_2016,male_population_2017,female_population_2017,population_2017,crude_birth_rate_2017,male_population_2018,female_population_2018,population_2018,crude_birth_rate_2018,male_population_2019,female_population_2019,population_2019,crude_birth_rate_2019,male_population_2020,female_population_2020,population_2020,crude_birth_rate_2020,male_population_2021,female_population_2021,population_2021,crude_birth_rate_2021,male_population_2022,female_population_2022,population_2022,crude_birth_rate_2022,male_population_2023,female_population_2023,population_2023,crude_birth_rate_2023,male_population_2024,female_population_2024,population_2024,crude_birth_rate_2024,male_population_2025,female_population_2025,population_2025,crude_birth_rate_2025
NLjvK1QsrN3,Ienge,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
hywxVKv48Xp,Nsali,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
QTtxiWj8ONP,Itambo,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
Oapn6R4rt3D,Zobwe,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
idR0pJWLqcR,Funabuli,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
jCJxK8sFH40,Soka,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
ydyJb1RAy4U,Ezhi,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
nO68NTtcdw2,Afue,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
FuvOOwvBw0p,Pili,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
R22tRIhdm5Y,Chibiya,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
ATG-STJ,St. John,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,15000,15000,30000,12,20000,20000,40000,14,25000,25000,50000,16,30000,30000,60000,16,35000,35000,70000,16
ATG-STP,St. Paul,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,12000,12000,24000,11,16000,16000,32000,13,20000,20000,40000,15,24000,24000,48000,15,28000,28000,56000,15
ATG-PTR,St. Peter,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,10000,10000,20000,10,13000,13000,26000,12,16000,16000,32000,14,19000,19000,38000,14,22000,22000,44000,14
ATG-GEO,St. George,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,8000,8000,16000,9,10000,10000,20000,11,12000,12000,24000,13,14000,14000,28000,13,16000,16000,32000,13
ATG-MAR,St. Mary,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,7000,7000,14000,8,9000,9000,18000,10,11000,11000,22000,12,13000,13000,26000,12,15000,15000,30000,12
ATG-PHL,St. Philip,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,6000,6000,12000,7,8000,8000,16000,9,10000,10000,20000,11,12000,12000,24000,11,14000,14000,28000,11
ATG-BAR,Barbuda,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2000,2000,4000,6,2500,2500,5000,8,3000,3000,6000,10,3500,3500,7000,10,4000,4000,8000,10
R22tRIhdm5Y,Chibiya,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
